City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,Mejit,10.2753,170.8646,82.76,77,100,18.77,MH,1687724514
243,Vila Franca do Campo,37.7167,-25.4333,70.21,74,37,2.8,PT,1687724515
244,East London,-33.0153,27.9116,62.24,91,100,14.9,ZA,1687724517
245,Sassandra,4.95,-6.0833,75.7,89,94,9.93,CI,1687724518
246,Sakura,35.7167,140.2333,78.78,99,100,1.14,JP,1687724519
247,Jayapura,-2.5333,140.7,74.59,89,83,2.64,ID,1687724522
248,Puerto Gaitán,4.3133,-72.0816,83.64,71,48,2.24,CO,1687724260
249,Tauranga,-37.6861,176.1667,49.64,90,6,4.68,NZ,1687724524
250,Mount Pearl,47.5166,-52.7813,68.34,77,75,31.07,CA,1687724286
251,Farasān,16.7022,42.1183,88.9,70,99,12.03,SA,1687724528
252,Taguatinga,-12.3857,-46.5711,87.78,23,30,5.3,BR,1687724529
253,Kaka,37.3482,59.6143,81.93,30,4,5.32,TM,1687724530
254,Shingū,33.7333,135.9833,71.2,75,100,4.54,JP,1687724532
255,Zhangaözen,43.3,52.8,73.22,32,2,7.81,KZ,1687724533
256,Aykhal,66.0,111.5,55.35,59,94,8.01,RU,1687724534
257,Geraldton,-28.7667,114.6,50.41,87,100,2.3,AU,1687723844
258,Ilebo,-4.3167,20.5833,74.55,76,72,1.23,CD,1687724537
259,Palikir,6.9248,158.1611,81.34,78,75,9.22,FM,1687724538
260,Farah,32.5,62.5,87.69,14,32,4.54,AF,1687724539
261,Talnakh,69.4865,88.3972,52.07,63,12,4.47,RU,1687723644
262,Kalix,65.853,23.1565,61.45,72,6,2.93,SE,1687724541
263,Yatou,37.15,122.3833,69.12,95,100,20.98,CN,1687724204
264,Bayjī,34.9311,43.487,94.8,12,0,10.67,IQ,1687724544
265,Nova Sintra,14.8667,-24.7167,70.02,81,0,19.44,CV,1687724545
266,Twon-Brass,4.3151,6.2418,78.71,77,92,11.54,NG,1687724547
267,Digboi,27.3833,95.6333,76.86,94,1,2.44,IN,1687724548
268,Mareeba,-17.0,145.4333,66.92,93,85,3.71,AU,1687724549
269,Tegueste,28.5167,-16.3167,72.66,91,40,14.97,ES,1687724550
270,Reggane,26.7158,0.1714,101.66,6,0,9.24,DZ,1687724551
271,São Desidério,-12.3633,-44.9733,85.32,26,78,6.69,BR,1687724552
272,Trairi,-3.2778,-39.2689,80.28,74,9,13.89,BR,1687724553
273,Kiama,-34.6833,150.8667,56.57,53,0,28.99,AU,1687724362
274,Susuman,62.7833,148.1667,70.5,55,8,2.95,RU,1687724557
275,Kochi,9.9399,76.2602,76.98,79,100,7.9,IN,1687724308
276,Nafada,11.0956,11.3327,82.71,61,59,8.86,NG,1687724559
277,Coron,11.9986,120.2043,77.14,88,50,2.91,PH,1687724560
278,Kailua-Kona,19.6406,-155.9956,82.36,80,40,10.36,US,1687724562
279,Nicoya,10.1483,-85.452,86.74,63,100,2.37,CR,1687724563
280,Nadvoitsy,63.8667,34.3167,57.65,64,14,6.26,RU,1687724565
281,Sauðarkrokur,65.7461,-19.6394,59.27,64,100,21.25,IS,1687724566
282,Saldanha,-33.0117,17.9442,51.85,84,0,16.71,ZA,1687724567
283,Itamaracá,-7.7478,-34.8256,80.65,84,22,15.08,BR,1687724569
284,Tejen,37.3834,60.5054,83.23,24,0,6.49,TM,1687724570
285,Belen,36.4891,36.2233,69.94,61,0,18.41,TR,1687724571
286,Galveston,29.3669,-94.9669,100.09,69,0,14.97,US,1687724572
287,Merizo Village,13.2658,144.6691,81.16,95,100,14.52,GU,1687724574
288,São Félix do Xingu,-6.6447,-51.995,90.18,41,86,4.21,BR,1687724576
289,Alofi,-19.0595,-169.9187,71.49,94,75,1.14,NU,1687724577
290,Uliastai,47.7417,96.8444,49.17,50,95,5.1,MN,1687724578
291,Aldan,58.6031,125.3894,59.41,69,100,4.74,RU,1687724580
292,Tôlanaro,-25.0319,46.9987,59.07,94,20,0.0,MG,1687724581
293,Gamba,-2.65,10.0,72.77,90,85,4.97,GA,1687724582
294,Aswān,24.0934,32.907,96.1,15,0,9.22,EG,1687724583
295,Soe,-9.8607,124.284,63.82,93,24,3.85,ID,1687724586
296,Vorkuta,67.5,64.0,50.2,64,88,5.75,RU,1687724587
297,Ishikawa,26.4233,127.8214,81.34,89,20,8.05,JP,1687724588
298,Chunskiy,56.0815,99.6342,52.79,98,100,6.98,RU,1687724589
299,Horta,38.5333,-28.6333,69.44,89,75,4.61,PT,1687724591
300,Hilo,19.7297,-155.09,81.25,74,75,12.66,US,1687724592
301,Happy Valley-Goose Bay,53.3168,-60.3315,55.71,67,75,9.22,CA,1687724593
302,Brookings,44.3114,-96.7984,70.14,80,100,19.57,US,1687724417
